pid,function declaration,parameter,variable declaration,loop,conditional statement,return
136,14,0,6,1,25,4
176,7,0,2,1,37,0
155,6,0,0,0,4,0
117,33,0,4,5,4,0
166,14,0,6,3,2,2
317,10,4,16,3,8,6
168,9,10,19,5,41,0
319,1,0,0,0,6,1
182,7,0,5,0,0,0
129,41,1,5,9,14,0
111,0,0,0,0,0,0
313,14,2,9,6,52,1
315,16,8,13,3,47,5
133,41,6,17,14,43,1
143,17,0,8,1,3,0
311,30,0,7,5,12,0
314,21,0,4,7,33,2
106,23,0,4,9,11,0
318,0,2,4,1,0,1
147,60,2,9,14,18,4
191,55,1,31,8,16,2
189,25,5,18,1,35,2
316,22,0,13,5,3,0
312,15,7,6,0,15,0
139,15,1,34,10,33,0
