pid,function declaration,exception handling,variable declaration,comment,loop,conditional statement,return
136,8,1,7,1,28,39,1
176,2,0,10,1,16,3,0
155,6,0,25,2,45,11,2
317,9,0,13,1,28,0,1
319,1,0,3,0,2,1,0
186,0,0,0,0,7,0,0
182,5,0,17,0,15,5,0
310,0,0,0,0,0,0,0
129,11,1,10,4,7,3,0
111,19,0,30,0,31,23,1
313,25,0,7,0,130,98,4
315,16,2,28,3,46,35,0
133,25,7,26,1,36,38,8
143,36,0,21,3,9,8,2
311,9,0,6,0,1,0,0
314,1,0,6,0,7,4,0
106,7,0,7,0,12,0,0
318,0,0,0,0,0,0,0
147,23,1,22,0,38,2,0
191,9,0,39,1,41,21,0
189,17,3,16,0,28,8,0
316,28,4,12,1,12,5,1
139,26,0,22,0,71,34,3
