pid,function declaration,parameter,variable,function call,argument,variable declaration,loop,conditional statement
136,0.0166580001823604,0.050008000107482,0.0,0.078614233346242,0.1016650000121444,0.115940362474066,0.1751346364586648,0.0291670000879094
176,0.1218629855007958,0.2566755856952762,0.0166670000180602,0.1451464167017816,0.1030577667212734,0.2304193083953576,0.3220955834685201,0.1506977831983627
155,0.0383333999896422,0.1972255833388771,0.0,0.1069506666632756,0.0589300714158785,0.2437580000259911,0.168987422203645,0.0
117,0.1131925523755073,0.120713129597371,0.0458369999978458,0.091471095243746,0.0083334999944781,0.0888902222052112,0.0541686666159269,0.0944488332897888
166,0.0416670000413432,0.0812542499625122,0.0194443333505963,0.0682069487386167,0.0731508888873375,0.2036707447749344,0.2283272882683732,0.0166719999397173
317,0.0866684667028796,0.0977121333433993,0.0250005000270903,0.0619660255756241,0.0759944881110207,0.1245903608779482,0.1669257244807697,0.1093498332645846
168,0.0388899999864709,0.0611156666806587,0.0,0.0,0.0,0.0979137499671195,0.1148166111088355,0.1083299999590962
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0333330000285059,0.0,0.0,0.0,0.0,0.0,0.0333375000045634
182,0.1296692231926471,0.0952412857233346,0.0476217142921606,0.0606264083204829,0.0,0.281685533254252,0.0,0.049999500013655
310,0.0,0.0,0.0,0.0,0.0,0.0166709999321028,0.0,0.0333320000208914
129,0.0569601043385615,0.207878549077856,0.0,0.0864125833232676,0.0729215000174006,0.0943500535951378,0.2948988906553936,0.0962150606439645
111,0.1102721785685258,0.1049059117628047,0.0633360000007087,0.1916754999947442,0.0500059999903896,0.2083439999939096,0.1023835238142747,0.0166675000000395
313,0.1745672105079344,0.0601884222340433,0.0388909999940854,0.0721988681899594,0.0865514857193504,0.1462266085762294,0.1480602166925865,0.0455588333182579
315,0.0352955882348503,0.0794001091398635,0.0,0.073959324970201,0.0547649999997312,0.0708365000173216,0.1389060000074095,0.0916662500239908
133,0.0888117904686146,0.125856199123798,0.0222243333701044,0.09839937238954,0.0595267142634838,0.1281063290216124,0.19334057650401,0.0781298124638851
143,0.0347718275864688,0.135698750001029,0.0,0.0703103361299609,0.1104185000076539,0.1115386922767635,0.11112333330675,0.0238101428590848
311,0.0166670000180602,0.0858369777968618,0.0333340000361204,0.0611160832922905,0.0,0.065875595260877,0.1272529999185943,0.0533350000390782
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0999970000120811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0811440259869838,0.1402099084914165,0.0166659998940303,0.0898483857119731,0.0333343333331868,0.1263845833600497,0.1047659880991669,0.0940501428475337
191,0.0866717857707823,0.1220480341712983,0.0166670000180602,0.0596336333158735,0.0611123332572685,0.2002101429444291,0.1116672499570993,0.058887800007748
189,0.0,0.0708357916567667,0.0,0.0486235789470181,0.064269863636582,0.1308556727617714,0.2009125604801523,0.1069540936552439
316,0.0547827547282103,0.0982619560209158,0.0,0.0730960857123136,0.0280005600047297,0.1594499333839241,0.0388909999746829,0.0333390000159852
312,0.0363651212079055,0.027780666675729,0.0,0.0861134126945028,0.0473112258346631,0.0661143666385516,0.0,0.0166719999397173
139,0.0822245666672945,0.1570758666668055,0.0166659999995317,0.113816400000183,0.1585223555555177,0.2398945518556778,0.146775920255987,0.0647651285713956
