pid,function declaration,parameter,variable declaration,conditional statement,conditional block,exception handling,externally defined variable or function,function call,argument
136,0.0788710356240958,0.09815288883530421,0.2570958002586848,0.0638909999591608,0.26449384607123916,0.0666736665492256,0.0375031666674961,0.056460275012068295,0.0333320000208914
117,0.0249999999650754,0.0594470333327383,0.0857165714010728,0.2428351211506223,0.2827056587302761,0.0333354999893344,0.036667999997735,0.0554747157039659,0.1083349999971687
166,0.0333350000437349,0.05833400003029961,0.098614999927425,0.0791720000706845,0.3237627808367719,0.0333300000056624,0.0,0.16743038961808981,0.0541667500219773
168,0.0,0.0,0.0,0.0,0.095837999950163,0.0,0.0,0.0,0.0
182,0.0966703999887353,0.0333333333061697,0.14213397226962501,0.14418079993629349,0.3093924305228732,0.0666644999873824,0.1583340000361204,0.0,0.0
129,0.0750057367840781,0.0611133333683634,0.020833999995375,0.18667809998150897,0.35557016662399565,0.0,0.0,0.0291695000196341,0.0166669999598525
315,0.0583352499816101,0.0437528750044293,0.0500016250152839,0.1041691666032419,0.3582658142878371,0.0,0.033332999999402,0.0669442527555824,0.0
133,0.1400082999607547,0.0527787083216632,0.08333624998340369,0.3145766715131075,0.5553415730667145,0.0888940000440925,0.0444459999756266,0.0820646915797274,0.0555589999227474
106,0.1022449999805897,0.0416663000098196,0.037504500008556804,0.18350020692131588,0.3727018542027583,0.0,0.0166690000041853,0.07836902563278081,0.0166669999889563
191,0.0796334443536275,0.06688239744965879,0.15333886664981639,0.2965731021347301,0.34912151680161607,0.0812545250286347,0.0416676666548786,0.0820360582062565,0.0222226666907469
