pid,function declaration,parameter,exception handling,variable declaration,conditional statement,externally defined variable or function,function call,argument
136,0.0428584285546094,0.0513911666542601,0.0964319285814692,0.2312562857737894,0.0666720001026986,0.0543666190600821,0.027777999988757,0.0333310000132769
176,0.1186143666428202,0.085765333273836,0.2131082858291587,0.1297065768844614,0.1375045002205296,0.0452409999977265,0.016665999777615,0.0
155,0.1244492444235623,0.1133265911396179,0.4020959286696908,0.3637226824844623,0.1531781071285615,0.0646847142932182,0.0416674285827736,0.0666720000444911
117,0.1264360706823714,0.0708554215762335,0.0488901999856655,0.2041744167120969,0.088098619077798,0.0333339999779127,0.0,0.0
166,0.0,0.0,0.1321474046729105,0.0944459999833877,0.075001666690999,0.1250029999064281,0.025000000023283,0.0
317,0.0666755000711417,0.0833430000348016,0.1588944667135364,0.0583391666683987,0.0500012222263548,0.0361124999957003,0.0,0.0166670000180602
168,0.1166720000037457,0.0555543333563642,0.1500079231739686,0.0608333000069249,0.0666717499989316,0.0333384999830741,0.0,0.0166660000104457
319,0.0,0.0,0.0333347500127274,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0277781666663941,0.0,0.0166730000055395,0.0,0.0,0.0
182,0.1861184999870601,0.0712169848557095,0.0755568667353751,0.2783412332859973,0.1000050000147892,0.0333335000323131,0.0,0.0
129,0.0545167500119228,0.0863361200139236,0.0535735714282574,0.2091387381078674,0.1983410000219009,0.0,0.029166999971494,0.0
111,0.0222259999961049,0.0944470000007033,0.1125048333318166,0.0166660000104457,0.138894799996827,0.0,0.0833330000023124,0.0
313,0.1169035000311849,0.0799614999947758,0.3044554166423036,0.1392928333038328,0.1000050000438931,0.0291682499955641,0.0166729999764356,0.0
315,0.0556698199827223,0.049999666691292,0.1000034999888156,0.1867963785180885,0.0476211428758688,0.0333320000208914,0.0166705000156071,0.0
133,0.0863816423547597,0.0837500824357617,0.2349844073195884,0.20209071677799,0.0488124285724811,0.0611127777956426,0.0166666666821887,0.0166639999952167
143,0.0287053333272019,0.0495252285876111,0.0638893333186084,0.1000090000064421,0.0333370000007562,0.0249995000194758,0.0,0.0
311,0.0783372000092639,0.05454590911342,0.1047674286611643,0.2500165416471036,0.0333340000361204,0.033332999999402,0.0,0.0
314,0.0333350000437349,0.0499989999807439,0.0523812857198728,0.1097891396745215,0.0625054999982239,0.0166670000180602,0.0,0.0
106,0.0958396111042625,0.0639134769242864,0.0363108571535641,0.0833351666563732,0.0250005000125383,0.0,0.0,0.0
318,0.0305581666762009,0.0,0.0,0.0166670000180602,0.0,0.0166640000534243,0.0,0.0
147,0.0421320000055453,0.078158553007983,0.2125121665109567,0.164378387327355,0.0666784999775699,0.0249996666874115,0.0166670000180602,0.0
191,0.066667333303485,0.0583362500183283,0.0583360000164247,0.1566187061437787,0.0708349999913479,0.0231493333509812,0.0,0.0
189,0.0375018571357941,0.0249990000156685,0.1450008999760028,0.147388365922432,0.1111163333698641,0.0249999999796273,0.0,0.0166699999972479
316,0.034092090915444,0.050002307698238,0.0333351999870501,0.0833339999662711,0.0166660000104457,0.0,0.0,0.0
139,0.155556666666396,0.1115122380948118,0.1721100972233038,0.355026594117176,0.090476357143026,0.0,0.0166709999994054,0.0
